"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Lübbenau","Brandenburg","Lübbenau, Brandenburg","(BB)",6.2,1.9,1.37684722222222,0,0.3
"Marburg an der Lahn","Hessen","Marburg an der Lahn, Hessen","(HE)",6.6,1.4,5.71950833333333,1,0
"Dierhagen","Mecklenburg-Vorpommern","Dierhagen, Mecklenburg-Vorpommern","(MV)",6.4,2.3,3.42192222222222,0,0.4
"Oberstaufen","Bayern","Oberstaufen, Bayern","(BY)",1.5,3.2,3.72349166666667,0,7.7
"Bad Saarow","Brandenburg","Bad Saarow, Brandenburg","(BB)",5.6,1.9,0.562433333333333,0,0.6
"Burg (Spreewald)","Brandenburg","Burg (Spreewald), Brandenburg","(BB)",6,2,1.27197222222222,0,0.3
"Oldenburg","Niedersachsen","Oldenburg, Niedersachsen","(NI)",5.8,2.6,6.23578055555556,0,0.5
"Duisburg","Nordrhein-Westfalen","Duisburg, Nordrhein-Westfalen","(NW)",5.6,5.3,1.46113888888889,0,1.9
"Sassnitz","Mecklenburg-Vorpommern","Sassnitz, Mecklenburg-Vorpommern","(MV)",6.8,2.7,5.74497777777778,0,0.2
"Greifswald","Mecklenburg-Vorpommern","Greifswald, Mecklenburg-Vorpommern","(MV)",6.6,2,3.17931111111111,0,0.3
"Heiligendamm","Mecklenburg-Vorpommern","Heiligendamm, Mecklenburg-Vorpommern","(MV)",6.4,3,2.39343055555556,0,0.1
"Kappeln","Schleswig-Holstein","Kappeln, Schleswig-Holstein","(SH)",7.2,3.1,6.05461111111111,1,0
"Norden","Niedersachsen","Norden, Niedersachsen","(NI)",5.8,6.5,6.40267777777778,0,3.6
"Rüdesheim am Rhein","Hessen","Rüdesheim am Rhein, Hessen","(HE)",7.2,3.2,6.98835833333333,1,0
"Dießen am Ammersee","Bayern","Dießen am Ammersee, Bayern","(BY)",6.4,4.9,6.96729722222222,0,1.7
"Halle an der Saale","Sachsen-Anhalt","Halle an der Saale, Sachsen-Anhalt","(ST)",6.8,2.6,5.53988055555556,0,0.6
"Schluchsee","Baden-Württemberg","Schluchsee, Baden-Württemberg","(BW)",6,2,6.98341111111111,0,1
"Darmstadt","Hessen","Darmstadt, Hessen","(HE)",6.8,2.6,5.94418611111111,1,0
"Saarbrücken","Saarland","Saarbrücken, Saarland","(SL)",4.8,1.9,4.22085555555556,0,2.1
"Rosenheim","Bayern","Rosenheim, Bayern","(BY)",5.8,4.2,5.24944166666667,0,2.2
"Celle","Niedersachsen","Celle, Niedersachsen","(NI)",5.2,2.2,0,0,1.5
"Speyer","Rheinland-Pfalz","Speyer, Rheinland-Pfalz","(RP)",6.6,2.4,4.90904722222222,0,0.3
"Traben-Trarbach","Rheinland-Pfalz","Traben-Trarbach, Rheinland-Pfalz","(RP)",5,3.4,0,0,2.4
"Horumersiel","Niedersachsen","Horumersiel, Niedersachsen","(NI)",2.9,5.1,6.150725,0,1.3
"Bad Kissingen","Bayern","Bad Kissingen, Bayern","(BY)",6.6,2,4.40442777777778,1,0
"Bodenmais","Bayern","Bodenmais, Bayern","(BY)",1.4,-0.1,2.88537222222222,0,2.3
"Braunlage","Niedersachsen","Braunlage, Niedersachsen","(NI)",3.6,-1,0.608413888888889,0,2.4
"Herrsching am Ammersee","Bayern","Herrsching am Ammersee, Bayern","(BY)",6.4,4.9,6.96729722222222,0,1.7
"Kempten (Allgäu)","Bayern","Kempten (Allgäu), Bayern","(BY)",4.8,3.9,6.62644722222222,0,3
"Wyk auf Föhr","Schleswig-Holstein","Wyk auf Föhr, Schleswig-Holstein","(SH)",4.7,5.3,5.90582777777778,0,0
"Wuppertal","Nordrhein-Westfalen","Wuppertal, Nordrhein-Westfalen","(NW)",1.3,3.3,0.245891666666667,0,3
"Leiwen","Rheinland-Pfalz","Leiwen, Rheinland-Pfalz","(RP)",4.6,3.4,0,0,2.4
"Bayreuth","Bayern","Bayreuth, Bayern","(BY)",3.6,1.1,4.14433333333333,0,0.3
"Rheinsberg","Brandenburg","Rheinsberg, Brandenburg","(BB)",5.8,1.8,0.699683333333333,0,0.3
"Ingolstadt","Bayern","Ingolstadt, Bayern","(BY)",6.8,0.8,6.01368611111111,0,0.2
"Niendorf","Schleswig-Holstein","Niendorf, Schleswig-Holstein","(SH)",6.8,2.3,4.53616944444444,1,0
"Paderborn","Nordrhein-Westfalen","Paderborn, Nordrhein-Westfalen","(NW)",5.8,1.2,2.27703333333333,0,0.6
"Prien am Chiemsee","Bayern","Prien am Chiemsee, Bayern","(BY)",5.4,1.9,3.40474722222222,0,3
"Bad Kreuznach","Rheinland-Pfalz","Bad Kreuznach, Rheinland-Pfalz","(RP)",7.2,2.8,6.607825,1,0
"Jena","Thüringen","Jena, Thüringen","(TH)",6.8,2.3,6.33470277777778,0,0.6
"Zell (Mosel)","Rheinland-Pfalz","Zell (Mosel), Rheinland-Pfalz","(RP)",4.8,3.7,0,0,2.4
"Pirna","Sachsen","Pirna, Sachsen","(SN)",6.6,2.1,5.48128333333333,0,0.5
"Bochum","Nordrhein-Westfalen","Bochum, Nordrhein-Westfalen","(NW)",5,5.1,0.136166666666667,0,3
"Laboe","Schleswig-Holstein","Laboe, Schleswig-Holstein","(SH)",6.8,2.8,5.99814444444444,1,0
"Chemnitz","Sachsen","Chemnitz, Sachsen","(SN)",6,1,5.98883333333333,0,1.9
"Grainau","Bayern","Grainau, Bayern","(BY)",6,3.5,7.25452777777778,0,2.4
"Limburg an der Lahn","Hessen","Limburg an der Lahn, Hessen","(HE)",6.8,2.9,5.72695,1,0
"Leer","Niedersachsen","Leer, Niedersachsen","(NI)",6.2,6.6,6.52322777777778,0,2.6
"Bad Harzburg","Niedersachsen","Bad Harzburg, Niedersachsen","(NI)",5.6,1,2.86906666666667,0,1.4
"Hopfen am See","Bayern","Hopfen am See, Bayern","(BY)",5.2,4,6.67487222222222,0,3.5
"Hohwacht (Ostsee)","Schleswig-Holstein","Hohwacht (Ostsee), Schleswig-Holstein","(SH)",6.8,2.4,4.80318055555556,1,0
"Heilbronn","Baden-Württemberg","Heilbronn, Baden-Württemberg","(BW)",6.4,1.2,5.63576944444444,0,0.3
"Schwangau","Bayern","Schwangau, Bayern","(BY)",5.2,3.8,6.63271388888889,0,3.7
"Tegernsee","Bayern","Tegernsee, Bayern","(BY)",5.6,2.5,5.94141111111111,0,3.1
"Wustrow","Mecklenburg-Vorpommern","Wustrow, Mecklenburg-Vorpommern","(MV)",6.6,2.2,4.05735555555556,0,0.3
"Hildesheim","Niedersachsen","Hildesheim, Niedersachsen","(NI)",5.6,2,1.02151666666667,0,0.6
"Kurort Oybin","Sachsen","Kurort Oybin, Sachsen","(SN)",6.6,0.8,5.22008611111111,0,0.7
"Murnau am Staffelsee","Bayern","Murnau am Staffelsee, Bayern","(BY)",6.2,3,6.43313611111111,0,2.8
"Senftenberg","Brandenburg","Senftenberg, Brandenburg","(BB)",6.2,1.8,2.93867222222222,0,0.8
"Bad Salzuflen","Nordrhein-Westfalen","Bad Salzuflen, Nordrhein-Westfalen","(NW)",6.4,1.9,4.00970277777778,0,0.3
"Hann. Münden","Niedersachsen","Hann. Münden, Niedersachsen","(NI)",6.6,1.9,4.85135833333333,0,0.3
"Hagnau am Bodensee","Baden-Württemberg","Hagnau am Bodensee, Baden-Württemberg","(BW)",6.2,7,5.77281111111111,0,1.6
"Langenargen","Baden-Württemberg","Langenargen, Baden-Württemberg","(BW)",5.2,7.6,5.59733888888889,0,2
"Wolfsburg","Niedersachsen","Wolfsburg, Niedersachsen","(NI)",5.2,2.1,0,0,1.2
"Rerik","Mecklenburg-Vorpommern","Rerik, Mecklenburg-Vorpommern","(MV)",6.6,2.5,2.24355555555556,1,0
"Hameln","Niedersachsen","Hameln, Niedersachsen","(NI)",5.6,2,1.74271666666667,0,0.9
"Möhnesee","Nordrhein-Westfalen","Möhnesee, Nordrhein-Westfalen","(NW)",6.2,1.1,3.9048,0,0.2
"Schillig","Niedersachsen","Schillig, Niedersachsen","(NI)",2.9,5.1,6.150725,0,1.3
"Rathen","Sachsen","Rathen, Sachsen","(SN)",6.6,2.4,5.226675,0,0.5
"Meißen","Sachsen","Meißen, Sachsen","(SN)",6.8,2.1,6.03901111111111,0,0.8
"Rottach-Egern","Bayern","Rottach-Egern, Bayern","(BY)",5.6,2.5,5.94141111111111,0,3.1
"Eltville am Rhein","Hessen","Eltville am Rhein, Hessen","(HE)",7.2,3.1,6.51217222222222,1,0
"Bad Muskau","Sachsen","Bad Muskau, Sachsen","(SN)",6.4,1.8,2.51523333333333,0,0.3
"Boppard","Rheinland-Pfalz","Boppard, Rheinland-Pfalz","(RP)",5.2,4,0,0,1.8
"Bad Tölz","Bayern","Bad Tölz, Bayern","(BY)",6,3.1,6.33483333333333,0,3.1
"Xanten","Nordrhein-Westfalen","Xanten, Nordrhein-Westfalen","(NW)",6.4,6.3,5.13003055555556,0,1.5
"Dahme","Schleswig-Holstein","Dahme, Schleswig-Holstein","(SH)",6.8,2.8,3.00955555555556,1,0
"Ruhpolding","Bayern","Ruhpolding, Bayern","(BY)",5.6,2.6,4.58988888888889,0,4.3
"Stade","Niedersachsen","Stade, Niedersachsen","(NI)",5.6,1.9,6.317875,0,0.1
"Dangast","Niedersachsen","Dangast, Niedersachsen","(NI)",3.6,3.5,5.72426388888889,0,0.6
"Oberhausen","Nordrhein-Westfalen","Oberhausen, Nordrhein-Westfalen","(NW)",5.4,5.4,1.41229722222222,0,2.1
"Gießen","Hessen","Gießen, Hessen","(HE)",6.4,1.9,2.94959166666667,1,0
"Siegen","Nordrhein-Westfalen","Siegen, Nordrhein-Westfalen","(NW)",5.2,1,0.510488888888889,0,0.9
"Hüde (Dümmer)","Niedersachsen","Hüde (Dümmer), Niedersachsen","(NI)",6.6,2.6,6.15596388888889,0,0.1
"Tübingen","Baden-Württemberg","Tübingen, Baden-Württemberg","(BW)",6.6,1.7,5.37397777777778,0,0.3
"Schneverdingen (Lüneburger Heide)","Niedersachsen","Schneverdingen (Lüneburger Heide), Niedersachsen","(NI)",5.8,1.5,1.148875,0,0.4
"Landshut","Bayern","Landshut, Bayern","(BY)",6.2,1,5.81394722222222,0,1
"Beilngries (Altmühltal)","Bayern","Beilngries (Altmühltal), Bayern","(BY)",6.4,1.1,5.40911111111111,0,0.2
"Oberwiesenthal","Sachsen","Oberwiesenthal, Sachsen","(SN)",5.2,-2,6.13809166666667,0,0.8
"Baltrum","Niedersachsen","Baltrum, Niedersachsen","(NI)",5.8,6.6,6.36894722222222,0,4.7
"Langeoog","Niedersachsen","Langeoog, Niedersachsen","(NI)",6,6.6,6.36894722222222,0,4.7
"Spiekeroog","Niedersachsen","Spiekeroog, Niedersachsen","(NI)",4.3,5.3,6.01969166666667,0,1.3
"Amrum","Schleswig-Holstein","Amrum, Schleswig-Holstein","(SH)",4.7,5.4,5.99556666666667,0,0
"Pellworm","Schleswig-Holstein","Pellworm, Schleswig-Holstein","(SH)",4.7,5.3,5.93045833333333,0,0
"Tangermünde","Sachsen-Anhalt","Tangermünde, Sachsen-Anhalt","(ST)",5.6,2.3,0,0,0.3
"Kaiserslautern","Rheinland-Pfalz","Kaiserslautern, Rheinland-Pfalz","(RP)",6.4,1.6,3.71934722222222,0,0.3
"Neustadt an der Weinstraße","Rheinland-Pfalz","Neustadt an der Weinstraße, Rheinland-Pfalz","(RP)",6.8,2.3,5.65555833333333,0,0.3
"Meppen","Niedersachsen","Meppen, Niedersachsen","(NI)",6.2,6.3,6.58279444444444,0,2.9
"Wittenberge","Brandenburg","Wittenberge, Brandenburg","(BB)",5.8,2.3,0.179436111111111,0,0.1
"Frankfurt (Oder)","Brandenburg","Frankfurt (Oder), Brandenburg","(BB)",5.8,2.1,1.94130277777778,0,0.6
"Daun (Eifel)","Rheinland-Pfalz","Daun (Eifel), Rheinland-Pfalz","(RP)",4.6,1.5,0,0,3
"Fehmarn","Schleswig-Holstein","Fehmarn, Schleswig-Holstein","(SH)",6.4,3.7,2.95449722222222,0,0.1
"Hooksiel","Niedersachsen","Hooksiel, Niedersachsen","(NI)",2.7,4.3,5.89962222222222,0,0.7
"Tossens","Niedersachsen","Tossens, Niedersachsen","(NI)",4.8,3.6,5.714425,0,0.5
"Dorum-Neufeld","Niedersachsen","Dorum-Neufeld, Niedersachsen","(NI)",5.2,4.7,6.22353055555556,0,0.4
"Nordstrand","Schleswig-Holstein","Nordstrand, Schleswig-Holstein","(SH)",6.2,4.5,6.11509166666667,0,0
"Glowe","Mecklenburg-Vorpommern","Glowe, Mecklenburg-Vorpommern","(MV)",6.8,2.9,5.74497777777778,0,0.2
"Baabe","Mecklenburg-Vorpommern","Baabe, Mecklenburg-Vorpommern","(MV)",6.6,2.8,5.14825277777778,0,0.6
