"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Travemünde","Schleswig-Holstein","Travemünde, Schleswig-Holstein","(SH)",5.3,3.45,6.16621736111111,3,9.98
"Hannover","Niedersachsen","Hannover, Niedersachsen","(NI)",4.7125,6.2375,4.57241388888889,4,11.56
"Oberstdorf","Bayern","Oberstdorf, Bayern","(BY)",2.9875,5.325,4.18024375,1,48.45
"Stuttgart","Baden-Württemberg","Stuttgart, Baden-Württemberg","(BW)",5.3625,8.0375,4.78988611111111,3,10
"Münster","Nordrhein-Westfalen","Münster, Nordrhein-Westfalen","(NW)",5.0875,6.4875,3.10659826388889,0,13.03
"Potsdam","Brandenburg","Potsdam, Brandenburg","(BB)",4.8625,4.65,4.27105868055556,4,13.16
"Wismar","Mecklenburg-Vorpommern","Wismar, Mecklenburg-Vorpommern","(MV)",5.8625,3.2,6.9382375,2,10.09
"Norddeich","Niedersachsen","Norddeich, Niedersachsen","(NI)",5.6875,4.9,3.34268923611111,4,8.2
"Stralsund","Mecklenburg-Vorpommern","Stralsund, Mecklenburg-Vorpommern","(MV)",6.1375,2.3625,6.64607673611111,4,8.95
"Koblenz","Rheinland-Pfalz","Koblenz, Rheinland-Pfalz","(RP)",5.3625,8.45,4.49109097222222,3,12.41
"Lindau","Bayern","Lindau, Bayern","(BY)",3.925,7.65,4.18733055555556,2,34.45
"Heidelberg","Baden-Württemberg","Heidelberg, Baden-Württemberg","(BW)",5.8875,8.525,4.26227256944444,4,17.2
"Zingst","Mecklenburg-Vorpommern","Zingst, Mecklenburg-Vorpommern","(MV)",6.0875,2.375,6.82152291666667,3,8.73
"Erfurt","Thüringen","Erfurt, Thüringen","(TH)",5.4375,6.275,4.21670694444444,3,6.5
"Juist","Niedersachsen","Juist, Niedersachsen","(NI)",6,4.8125,3.28564270833333,4,8.1
"Greetsiel","Niedersachsen","Greetsiel, Niedersachsen","(NI)",5.7625,5.425,3.66256284722222,4,7.9
"Heiligenhafen","Schleswig-Holstein","Heiligenhafen, Schleswig-Holstein","(SH)",6.2125,2.75,7.28566979166667,3,10.05
"Füssen","Bayern","Füssen, Bayern","(BY)",3.65,5.2375,4.57757847222222,1,41.14
"Bremen","Bremen","Bremen","(HB)",5.775,5.8375,5.69259618055556,4,10.4
"Kiel","Schleswig-Holstein","Kiel, Schleswig-Holstein","(SH)",5.075,2.9375,6.38602083333333,3,11.76
"Bamberg","Bayern","Bamberg, Bayern","(BY)",5.0375,6.4875,4.10303229166667,4,5.2
"Freiburg im Breisgau","Baden-Württemberg","Freiburg im Breisgau, Baden-Württemberg","(BW)",5.4875,8.5,4.4389125,3,17.06
"Cochem (Mosel)","Rheinland-Pfalz","Cochem (Mosel), Rheinland-Pfalz","(RP)",6.1,8.725,4.85701944444444,2,10.9
"Trier","Rheinland-Pfalz","Trier, Rheinland-Pfalz","(RP)",5.0625,9.275,3.326290625,1,14.67
"Ahrenshoop","Mecklenburg-Vorpommern","Ahrenshoop, Mecklenburg-Vorpommern","(MV)",5.625,1.825,6.98649861111111,3,8.44
"Nürnberg","Bayern","Nürnberg, Bayern","(BY)",4.775,6.775,3.66023125,3,8.1
"Wernigerode (Harz)","Sachsen-Anhalt","Wernigerode (Harz), Sachsen-Anhalt","(ST)",3.9,4.9875,4.74740138888889,3,22.86
"Bremerhaven","Bremen","Bremerhaven","(HB)",5.4875,4.7375,5.87236909722222,4,12.6
"Görlitz","Sachsen","Görlitz, Sachsen","(SN)",4.7875,4.075,4.14037361111111,3,10.54
"Zinnowitz","Mecklenburg-Vorpommern","Zinnowitz, Mecklenburg-Vorpommern","(MV)",6.225,1.9875,6.30848263888889,4,5.9
"Meersburg","Baden-Württemberg","Meersburg, Baden-Württemberg","(BW)",5.3375,7.15,4.74099895833333,4,29.7
