"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Boltenhagen","Mecklenburg-Vorpommern","Boltenhagen, Mecklenburg-Vorpommern","(MV)",5.92,-1.54,1.45005333333333,5,0
"Garmisch-Partenkirchen","Bayern","Garmisch-Partenkirchen, Bayern","(BY)",5.56,3.82,4.08023388888889,1,10.13
"Lübeck","Schleswig-Holstein","Lübeck, Schleswig-Holstein","(SH)",6.2,-1.3,1.28214055555556,5,0
"Waren (Müritz)","Mecklenburg-Vorpommern","Waren (Müritz), Mecklenburg-Vorpommern","(MV)",5.8,-2.44,1.80105444444444,5,0
"Berchtesgaden","Bayern","Berchtesgaden, Bayern","(BY)",5.84,1.16,4.31042166666667,2,3.72
"Heringsdorf (Usedom)","Mecklenburg-Vorpommern","Heringsdorf (Usedom), Mecklenburg-Vorpommern","(MV)",5.76,-2.84,2.99372555555556,5,0
"Düsseldorf","Nordrhein-Westfalen","Düsseldorf, Nordrhein-Westfalen","(NW)",5.1,4.22,1.46493222222222,0,9.9
"Rostock","Mecklenburg-Vorpommern","Rostock, Mecklenburg-Vorpommern","(MV)",6.24,-1.74,2.94114555555556,5,0
"Lüneburg","Niedersachsen","Lüneburg, Niedersachsen","(NI)",6.24,-1.06,1.46382388888889,5,0
"Scharbeutz","Schleswig-Holstein","Scharbeutz, Schleswig-Holstein","(SH)",6.44,-1.3,1.25274888888889,5,0
"Travemünde","Schleswig-Holstein","Travemünde, Schleswig-Holstein","(SH)",6.16,-1.26,1.249725,5,0
"Hannover","Niedersachsen","Hannover, Niedersachsen","(NI)",5.48,-1.02,2.11523222222222,4,2.73
"Oberstdorf","Bayern","Oberstdorf, Bayern","(BY)",5.04,3.28,4.31596277777778,1,16.33
"Stuttgart","Baden-Württemberg","Stuttgart, Baden-Württemberg","(BW)",5.16,4,2.69070222222222,0,11.05
"Münster","Nordrhein-Westfalen","Münster, Nordrhein-Westfalen","(NW)",5.48,2.38,4.01089444444444,0,6.45
"Potsdam","Brandenburg","Potsdam, Brandenburg","(BB)",5.72,-2.24,2.19265944444444,5,0
"Wismar","Mecklenburg-Vorpommern","Wismar, Mecklenburg-Vorpommern","(MV)",5.92,-1.54,1.46188666666667,5,0
"Norddeich","Niedersachsen","Norddeich, Niedersachsen","(NI)",5.8,0.32,2.17669222222222,1,1.23
"Stralsund","Mecklenburg-Vorpommern","Stralsund, Mecklenburg-Vorpommern","(MV)",6.48,-1.5,2.021595,4,0.03
"Koblenz","Rheinland-Pfalz","Koblenz, Rheinland-Pfalz","(RP)",4.28,3.4,0.102511666666667,0,11.08
"Lindau","Bayern","Lindau, Bayern","(BY)",4.92,3.02,2.46767722222222,1,19.91
"Heidelberg","Baden-Württemberg","Heidelberg, Baden-Württemberg","(BW)",5.04,4.7,2.09165166666667,0,7.69
"Zingst","Mecklenburg-Vorpommern","Zingst, Mecklenburg-Vorpommern","(MV)",6.48,-0.58,1.84013055555556,5,0
"Erfurt","Thüringen","Erfurt, Thüringen","(TH)",5.04,-0.96,0.229581666666667,3,5.11
"Juist","Niedersachsen","Juist, Niedersachsen","(NI)",5.76,0.6,2.31609666666667,0,1.73
"Greetsiel","Niedersachsen","Greetsiel, Niedersachsen","(NI)",6.28,0.38,2.56180555555556,2,2.3
"Heiligenhafen","Schleswig-Holstein","Heiligenhafen, Schleswig-Holstein","(SH)",6.36,-0.18,1.48079555555556,5,0
"Füssen","Bayern","Füssen, Bayern","(BY)",5.56,1.54,3.80668944444444,1,14.13
"Bremen","Bremen","Bremen","(HB)",5.84,-0.44,1.42144277777778,4,1.24
"Kiel","Schleswig-Holstein","Kiel, Schleswig-Holstein","(SH)",6.32,-0.58,1.31457333333333,4,0.1
"Bamberg","Bayern","Bamberg, Bayern","(BY)",6.56,1.54,2.66652833333333,3,2.75
"Freiburg im Breisgau","Baden-Württemberg","Freiburg im Breisgau, Baden-Württemberg","(BW)",4.62,4.92,1.22438611111111,0,11.04
"Cochem (Mosel)","Rheinland-Pfalz","Cochem (Mosel), Rheinland-Pfalz","(RP)",4.38,3.86,0.0173472222222222,1,8.11
"Trier","Rheinland-Pfalz","Trier, Rheinland-Pfalz","(RP)",4.38,5.28,0.711641111111111,0,11.73
"Ahrenshoop","Mecklenburg-Vorpommern","Ahrenshoop, Mecklenburg-Vorpommern","(MV)",6.56,-0.72,2.31941166666667,5,0
"Nürnberg","Bayern","Nürnberg, Bayern","(BY)",6.64,1.56,2.07367277777778,3,0.86
"Wernigerode (Harz)","Sachsen-Anhalt","Wernigerode (Harz), Sachsen-Anhalt","(ST)",5.32,-1.74,0.523137777777778,2,4.11
"Bremerhaven","Bremen","Bremerhaven","(HB)",6.24,-0.44,1.33451833333333,5,0
"Görlitz","Sachsen","Görlitz, Sachsen","(SN)",5.88,-1.48,0.976845555555556,4,0.8
"Zinnowitz","Mecklenburg-Vorpommern","Zinnowitz, Mecklenburg-Vorpommern","(MV)",5.88,-2.18,2.78144888888889,5,0
"Meersburg","Baden-Württemberg","Meersburg, Baden-Württemberg","(BW)",5.04,2.9,1.35751888888889,1,13.18
"Weimar","Thüringen","Weimar, Thüringen","(TH)",5.16,-0.98,0.419776111111111,3,5.87
"Würzburg","Bayern","Würzburg, Bayern","(BY)",5.46,1.32,1.11864944444444,2,5.86
"Schwerin","Mecklenburg-Vorpommern","Schwerin, Mecklenburg-Vorpommern","(MV)",5.72,-1.92,1.44146333333333,5,0
"Westerland (Sylt)","Schleswig-Holstein","Westerland (Sylt), Schleswig-Holstein","(SH)",6.24,0.22,1.41460611111111,1,0.35
"Carolinensiel","Niedersachsen","Carolinensiel, Niedersachsen","(NI)",5.84,-0.04,1.28799944444444,3,0.1
"Graal-Müritz","Mecklenburg-Vorpommern","Graal-Müritz, Mecklenburg-Vorpommern","(MV)",6.68,-1.24,2.98504222222222,5,0
"Ahlbeck","Mecklenburg-Vorpommern","Ahlbeck, Mecklenburg-Vorpommern","(MV)",5.72,-2.9,2.97666444444444,5,0
"Schönau am Königssee","Bayern","Schönau am Königssee, Bayern","(BY)",6.36,2.64,4.46065166666667,2,4.09
"Bad Schandau","Sachsen","Bad Schandau, Sachsen","(SN)",6.28,0.02,1.01302555555556,4,0.4
"Bad Zwischenahn","Niedersachsen","Bad Zwischenahn, Niedersachsen","(NI)",5.16,-0.44,1.10856333333333,3,7.98
"Regensburg","Bayern","Regensburg, Bayern","(BY)",6.24,1.2,1.25201611111111,3,2.7
"Titisee-Neustadt","Baden-Württemberg","Titisee-Neustadt, Baden-Württemberg","(BW)",3.22,2.56,1.29652611111111,0,7.31
"Bernkastel-Kues","Rheinland-Pfalz","Bernkastel-Kues, Rheinland-Pfalz","(RP)",4.3,4.58,0.23496,0,9.73
"Wilhelmshaven","Niedersachsen","Wilhelmshaven, Niedersachsen","(NI)",6.04,-0.2,1.36261944444444,4,0
"Husum","Schleswig-Holstein","Husum, Schleswig-Holstein","(SH)",6.32,-0.12,1.113145,5,0
"Dortmund","Nordrhein-Westfalen","Dortmund, Nordrhein-Westfalen","(NW)",5.1,4.3,3.74749611111111,1,7.03
"Neuharlingersiel","Niedersachsen","Neuharlingersiel, Niedersachsen","(NI)",5.84,0.08,1.22983944444444,3,0.2
"Kassel","Hessen","Kassel, Hessen","(HE)",5.24,0.48,2.22494,3,5.7
"Friedrichshafen","Baden-Württemberg","Friedrichshafen, Baden-Württemberg","(BW)",5.08,2.24,2.11199111111111,1,13.75
"Mainz","Rheinland-Pfalz","Mainz, Rheinland-Pfalz","(RP)",4.76,3.14,0.611983333333333,1,7.22
"Helgoland","Schleswig-Holstein","Helgoland, Schleswig-Holstein","(SH)",6.28,0.86,0.27274,5,0
"Mannheim","Baden-Württemberg","Mannheim, Baden-Württemberg","(BW)",5,4.9,1.65727055555556,0,7.72
"Überlingen","Baden-Württemberg","Überlingen, Baden-Württemberg","(BW)",5.08,3.06,1.40515,1,11.34
"Bansin","Mecklenburg-Vorpommern","Bansin, Mecklenburg-Vorpommern","(MV)",5.76,-2.86,2.85937,5,0
"Bensersiel","Niedersachsen","Bensersiel, Niedersachsen","(NI)",5.96,0.36,1.78278388888889,3,0.9
"Bonn","Nordrhein-Westfalen","Bonn, Nordrhein-Westfalen","(NW)",4.06,3.48,0.0734216666666667,0,15.36
"Karlsruhe","Baden-Württemberg","Karlsruhe, Baden-Württemberg","(BW)",4.68,5.44,1.63965222222222,0,11.51
"Aachen","Nordrhein-Westfalen","Aachen, Nordrhein-Westfalen","(NW)",4.66,5.44,1.14609888888889,1,9.3
"Passau","Bayern","Passau, Bayern","(BY)",6.68,2.06,3.90625111111111,3,2.01
"Flensburg","Schleswig-Holstein","Flensburg, Schleswig-Holstein","(SH)",6,-0.3,0.745532777777778,2,2.04
"Wiesbaden","Hessen","Wiesbaden, Hessen","(HE)",4.58,2.9,0.482877777777778,2,6.38
"Quedlinburg","Sachsen-Anhalt","Quedlinburg, Sachsen-Anhalt","(ST)",5,-1.74,0.154932777777778,3,4.25
"Magdeburg","Sachsen-Anhalt","Magdeburg, Sachsen-Anhalt","(ST)",5.96,-1.36,2.20321277777778,4,0.1
"Bad Reichenhall","Bayern","Bad Reichenhall, Bayern","(BY)",5.66,2.38,3.50155722222222,2,4.7
"Goslar","Niedersachsen","Goslar, Niedersachsen","(NI)",5.48,-1.22,2.29518055555556,4,3.75
"Prerow","Mecklenburg-Vorpommern","Prerow, Mecklenburg-Vorpommern","(MV)",6.52,-0.68,1.91304944444444,5,0
"Baden-Baden","Baden-Württemberg","Baden-Baden, Baden-Württemberg","(BW)",4.42,5.14,0.935881666666667,0,15.23
"Augsburg","Bayern","Augsburg, Bayern","(BY)",4.84,0.88,1.38070777777778,2,8.62
"Eckernförde","Schleswig-Holstein","Eckernförde, Schleswig-Holstein","(SH)",6.16,-0.24,1.03743722222222,3,0.13
"Edersee","Hessen","Edersee, Hessen","(HE)",4.52,-0.06,0.710710555555556,2,7.7
"Rust","Baden-Württemberg","Rust, Baden-Württemberg","(BW)",4.7,4.9,1.25238388888889,0,9.95
"Willingen","Hessen","Willingen, Hessen","(HE)",4.48,-0.38,0.467361666666667,2,9.28
"Emden","Niedersachsen","Emden, Niedersachsen","(NI)",6.1,0.54,2.35978,2,2.4
"Göttingen","Niedersachsen","Göttingen, Niedersachsen","(NI)",5,-0.48,1.69457444444444,3,4.04
"Plau am See","Mecklenburg-Vorpommern","Plau am See, Mecklenburg-Vorpommern","(MV)",5.56,-2.24,1.50941722222222,5,0
"Eisenach","Thüringen","Eisenach, Thüringen","(TH)",5.12,-0.8,1.40206222222222,3,3.23
"Wangerooge","Niedersachsen","Wangerooge, Niedersachsen","(NI)",6.08,0.58,1.11859722222222,4,0
"Winterberg","Nordrhein-Westfalen","Winterberg, Nordrhein-Westfalen","(NW)",3.88,-0.8,0.000512777777777778,2,9.94
"Rothenburg ob der Tauber","Bayern","Rothenburg ob der Tauber, Bayern","(BY)",4.66,0.4,1.68946888888889,2,6.69
"Ulm","Baden-Württemberg","Ulm, Baden-Württemberg","(BW)",4.52,0.26,0.593575555555556,2,8.83
"Bielefeld","Nordrhein-Westfalen","Bielefeld, Nordrhein-Westfalen","(NW)",5.88,0.7,2.75701722222222,3,9.07
"Bad Neuenahr-Ahrweiler","Rheinland-Pfalz","Bad Neuenahr-Ahrweiler, Rheinland-Pfalz","(RP)",4.24,3.14,0.11049,0,12.28
"Schliersee","Bayern","Schliersee, Bayern","(BY)",5.4,2.06,3.59738055555556,2,13.99
"Essen","Nordrhein-Westfalen","Essen, Nordrhein-Westfalen","(NW)",5.18,4.32,2.88798222222222,1,9.4
"Monschau","Nordrhein-Westfalen","Monschau, Nordrhein-Westfalen","(NW)",4.52,3.4,0.61688,1,7.6
"Fulda","Hessen","Fulda, Hessen","(HE)",5.14,0.82,2.17651666666667,2,3.63
"Ostseebad Sellin","Mecklenburg-Vorpommern","Ostseebad Sellin, Mecklenburg-Vorpommern","(MV)",6.32,-1.32,1.24489111111111,5,0
"Osnabrück","Niedersachsen","Osnabrück, Niedersachsen","(NI)",5.44,0.2,2.96320388888889,3,9.12
"Braunschweig","Niedersachsen","Braunschweig, Niedersachsen","(NI)",5.68,-1.28,1.56925722222222,4,2.46
"Mittenwald","Bayern","Mittenwald, Bayern","(BY)",6.02,3.3,4.01217611111111,1,8.19
"Lübbenau","Brandenburg","Lübbenau, Brandenburg","(BB)",5.8,-1.84,2.20676111111111,5,0
"Marburg an der Lahn","Hessen","Marburg an der Lahn, Hessen","(HE)",4.68,0.46,0.486099444444444,2,6.93
"Dierhagen","Mecklenburg-Vorpommern","Dierhagen, Mecklenburg-Vorpommern","(MV)",6.44,-1.3,2.96163166666667,5,0
"Oberstaufen","Bayern","Oberstaufen, Bayern","(BY)",4.76,2.5,3.85997833333333,1,20.21
"Bad Saarow","Brandenburg","Bad Saarow, Brandenburg","(BB)",5.56,-2.56,1.57883833333333,5,0
"Burg (Spreewald)","Brandenburg","Burg (Spreewald), Brandenburg","(BB)",5.6,-1.86,1.64516,5,0
"Oldenburg","Niedersachsen","Oldenburg, Niedersachsen","(NI)",5.16,-0.48,1.36179,3,3.86
"Duisburg","Nordrhein-Westfalen","Duisburg, Nordrhein-Westfalen","(NW)",5.38,4.7,2.53328944444444,1,8.93
"Sassnitz","Mecklenburg-Vorpommern","Sassnitz, Mecklenburg-Vorpommern","(MV)",6.28,-1.18,1.36333111111111,4,0.2
"Greifswald","Mecklenburg-Vorpommern","Greifswald, Mecklenburg-Vorpommern","(MV)",5.96,-2.16,2.96709722222222,5,0
