"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Heidelberg","Baden-Württemberg","Heidelberg, Baden-Württemberg","(BW)",9.06666666666667,17.6,11.6631861111111,5,1.9
"Zingst","Mecklenburg-Vorpommern","Zingst, Mecklenburg-Vorpommern","(MV)",8.73333333333333,10.1333333333333,13.8390439814815,5,0.03
"Erfurt","Thüringen","Erfurt, Thüringen","(TH)",9,14.35,13.2053944444444,5,0.2
"Juist","Niedersachsen","Juist, Niedersachsen","(NI)",8.6,10.0166666666667,11.8978768518519,6,0
"Greetsiel","Niedersachsen","Greetsiel, Niedersachsen","(NI)",8.7,10.25,12.3515768518519,6,0
"Heiligenhafen","Schleswig-Holstein","Heiligenhafen, Schleswig-Holstein","(SH)",8.8,11.0666666666667,13.2423768518519,6,0
"Füssen","Bayern","Füssen, Bayern","(BY)",8.23333333333333,13.3333333333333,11.1854490740741,4,2.4
"Bremen","Bremen","Bremen","(HB)",8.7,13.8166666666667,11.541637037037,5,1.9
"Kiel","Schleswig-Holstein","Kiel, Schleswig-Holstein","(SH)",8.83333333333333,12.8166666666667,12.608062962963,6,0
"Bamberg","Bayern","Bamberg, Bayern","(BY)",9.13333333333333,15.7666666666667,12.1281777777778,5,0.3
"Freiburg im Breisgau","Baden-Württemberg","Freiburg im Breisgau, Baden-Württemberg","(BW)",8.83333333333333,17,11.5903157407407,5,2.26
"Cochem (Mosel)","Rheinland-Pfalz","Cochem (Mosel), Rheinland-Pfalz","(RP)",9.3,17.4833333333333,13.6011236111111,6,0
"Trier","Rheinland-Pfalz","Trier, Rheinland-Pfalz","(RP)",9.33333333333333,17.8,13.0371282407407,6,0
"Ahrenshoop","Mecklenburg-Vorpommern","Ahrenshoop, Mecklenburg-Vorpommern","(MV)",8.73333333333333,9.68333333333333,13.9161083333333,5,0.03
"Nürnberg","Bayern","Nürnberg, Bayern","(BY)",9.06666666666667,15.8166666666667,12.1645027777778,5,1.2
"Wernigerode (Harz)","Sachsen-Anhalt","Wernigerode (Harz), Sachsen-Anhalt","(ST)",8.93333333333333,12.55,13.6526731481481,6,0
"Bremerhaven","Bremen","Bremerhaven","(HB)",8.43333333333333,11.2666666666667,10.7186097222222,5,2.5
"Görlitz","Sachsen","Görlitz, Sachsen","(SN)",8.86666666666667,12.9166666666667,12.6534689814815,5,0.4
"Zinnowitz","Mecklenburg-Vorpommern","Zinnowitz, Mecklenburg-Vorpommern","(MV)",8.76666666666667,10.6333333333333,13.4378175925926,6,0
"Meersburg","Baden-Württemberg","Meersburg, Baden-Württemberg","(BW)",8.93333333333333,16.7333333333333,11.5913856481481,6,0
"Weimar","Thüringen","Weimar, Thüringen","(TH)",9,14.1666666666667,13.2851805555556,5,0.2
"Würzburg","Bayern","Würzburg, Bayern","(BY)",9.1,16.1333333333333,12.5396560185185,5,1.6
"Schwerin","Mecklenburg-Vorpommern","Schwerin, Mecklenburg-Vorpommern","(MV)",8.8,12.5166666666667,13.0448472222222,6,0
"Westerland (Sylt)","Schleswig-Holstein","Westerland (Sylt), Schleswig-Holstein","(SH)",8.6,8.51666666666667,13.0883916666667,6,0
"Carolinensiel","Niedersachsen","Carolinensiel, Niedersachsen","(NI)",8.3,10.45,10.7689166666667,5,2.9
"Graal-Müritz","Mecklenburg-Vorpommern","Graal-Müritz, Mecklenburg-Vorpommern","(MV)",8.76666666666667,9.88333333333333,13.3419606481481,6,0
"Ahlbeck","Mecklenburg-Vorpommern","Ahlbeck, Mecklenburg-Vorpommern","(MV)",8.73333333333333,10.65,13.1077939814815,6,0
"Schönau am Königssee","Bayern","Schönau am Königssee, Bayern","(BY)",7.48333333333333,13.4666666666667,11.0575046296296,3,7.5
"Bad Schandau","Sachsen","Bad Schandau, Sachsen","(SN)",8.9,13.3833333333333,12.9624643518519,6,0
"Bad Zwischenahn","Niedersachsen","Bad Zwischenahn, Niedersachsen","(NI)",8.7,13.6333333333333,11.7356175925926,5,1.5
"Regensburg","Bayern","Regensburg, Bayern","(BY)",8.83333333333333,15.2833333333333,11.6310421296296,5,1.5
"Titisee-Neustadt","Baden-Württemberg","Titisee-Neustadt, Baden-Württemberg","(BW)",8.63333333333333,13.2166666666667,11.5336560185185,5,1.8
"Bernkastel-Kues","Rheinland-Pfalz","Bernkastel-Kues, Rheinland-Pfalz","(RP)",9.43333333333333,18.2833333333333,13.5420893518519,6,0
"Wilhelmshaven","Niedersachsen","Wilhelmshaven, Niedersachsen","(NI)",8.4,11.55,10.8467851851852,5,2.4
"Husum","Schleswig-Holstein","Husum, Schleswig-Holstein","(SH)",8.73333333333333,12.1833333333333,12.1268453703704,5,0.3
"Dortmund","Nordrhein-Westfalen","Dortmund, Nordrhein-Westfalen","(NW)",9.16666666666667,15.85,13.7441296296296,6,0
"Neuharlingersiel","Niedersachsen","Neuharlingersiel, Niedersachsen","(NI)",8.3,10.2333333333333,10.8082199074074,5,2.8
"Kassel","Hessen","Kassel, Hessen","(HE)",8.93333333333333,14.7833333333333,13.1128773148148,4,0.6
"Friedrichshafen","Baden-Württemberg","Friedrichshafen, Baden-Württemberg","(BW)",8.93333333333333,16.9666666666667,11.4664578703704,6,0
"Mainz","Rheinland-Pfalz","Mainz, Rheinland-Pfalz","(RP)",9.03333333333333,17.2333333333333,12.6330106481481,5,2.5
"Helgoland","Schleswig-Holstein","Helgoland, Schleswig-Holstein","(SH)",8.13333333333333,8.6,10.5272166666667,5,3.9
"Mannheim","Baden-Württemberg","Mannheim, Baden-Württemberg","(BW)",8.9,17.3833333333333,11.4105421296296,5,2.3
