"Ort","Bundesland","Bezeichnung","Lat","Lon","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Wernigerode (Harz)","Sachsen-Anhalt","Wernigerode (Harz), Sachsen-Anhalt",51.8344172,10.7862526,8.32857142857143,16.2857142857143,12.5214611111111,5,2.6
"Bremerhaven","Bremen","Bremerhaven",53.5505392,8.5851945,8.65714285714286,17.3857142857143,12.5677964285714,5,4.8
"Görlitz","Sachsen","Görlitz, Sachsen",51.1532076746077,14.9869867830968,9.02857142857143,17.4714285714286,12.8857686507937,5,1.1
"Zinnowitz","Mecklenburg-Vorpommern","Zinnowitz, Mecklenburg-Vorpommern",54.076647,13.9089471,8.74285714285714,15.1,12.5352654761905,4,2.4
"Meersburg","Baden-Württemberg","Meersburg, Baden-Württemberg",47.6955538,9.2719656,8.45714285714286,18.7714285714286,10.515630952381,5,27.6
"Weimar","Thüringen","Weimar, Thüringen",50.9793301,11.3297921,9.05714285714286,17.4285714285714,12.7457650793651,6,0.4
"Würzburg","Bayern","Würzburg, Bayern",49.7933506809822,9.93146899481068,8.91428571428571,18.4285714285714,11.2455031746032,6,0.3
"Schwerin","Mecklenburg-Vorpommern","Schwerin, Mecklenburg-Vorpommern",53.6288297,11.4148038,8.68571428571429,17.0714285714286,12.3242448412698,4,6.6
"Westerland (Sylt)","Schleswig-Holstein","Westerland (Sylt), Schleswig-Holstein",54.9064856,8.3071734,8.2,10.3714285714286,12.8642642857143,5,4.5
"Carolinensiel","Niedersachsen","Carolinensiel, Niedersachsen",53.6916344,7.8028095,8.31428571428571,16.4,11.7633452380952,3,4.9
"Graal-Müritz","Mecklenburg-Vorpommern","Graal-Müritz, Mecklenburg-Vorpommern",54.2552653,12.2517155,8.51428571428571,14.6,12.5477757936508,5,4
"Ahlbeck","Mecklenburg-Vorpommern","Ahlbeck, Mecklenburg-Vorpommern",53.940567335526,14.1870203187083,8.94285714285714,15.7714285714286,13.6911007936508,5,1.9
"Schönau am Königssee","Bayern","Schönau am Königssee, Bayern",47.6054955,12.9846526,8.34285714285714,16.5714285714286,11.8567900793651,5,16.5
"Bad Schandau","Sachsen","Bad Schandau, Sachsen",50.918091,14.1534018,9.05714285714286,17.8142857142857,12.7962472222222,6,1.4
"Bad Zwischenahn","Niedersachsen","Bad Zwischenahn, Niedersachsen",53.1801364574887,8.00840837233071,8.62857142857143,18.3714285714286,11.68365,4,4.8
"Regensburg","Bayern","Regensburg, Bayern",49.0195333,12.0974869,8.65714285714286,18.2428571428571,11.6011103174603,5,11.6
"Titisee-Neustadt","Baden-Württemberg","Titisee-Neustadt, Baden-Württemberg",47.9001945340631,8.15217052598511,7.97142857142857,15.3857142857143,10.1230563492063,5,15.1
"Bernkastel-Kues","Rheinland-Pfalz","Bernkastel-Kues, Rheinland-Pfalz",49.9157398,7.0708181,8.42857142857143,19.5285714285714,13.0462107142857,4,10.7
"Wilhelmshaven","Niedersachsen","Wilhelmshaven, Niedersachsen",53.5278793,8.106301,8.48571428571429,17.0857142857143,12.1578242063492,4,6
"Husum","Schleswig-Holstein","Husum, Schleswig-Holstein",54.4854137,9.0537941,8.25714285714286,15.7142857142857,11.3543543650794,4,13.5
"Dortmund","Nordrhein-Westfalen","Dortmund, Nordrhein-Westfalen",51.5142273,7.4652789,8.6,18.4285714285714,13.4744162698413,4,12.6
"Neuharlingersiel","Niedersachsen","Neuharlingersiel, Niedersachsen",53.6992698,7.7035695,8.31428571428571,16.2428571428571,11.7460420634921,3,4.9
"Kassel","Hessen","Kassel, Hessen",51.3157833,9.4978479,8.88571428571429,17.6,12.4569119047619,6,1.2
